case_id,scan_id,obj_name,target_id,gt_found,n_candidates,n_candidates_with_canvas,oracle25,oracle50,best_iou
0,scene0351_00,chair,0,True,4,0,True,True,0.9393
1,scene0307_00,sink,5,True,2,2,True,False,0.3212
2,scene0629_00,cabinet,22,True,1,1,False,False,0.0
3,scene0633_00,box shelf,25,True,0,0,False,False,0.0
4,scene0568_00,chair,15,True,5,0,True,True,0.9931
5,scene0527_00,towel,23,True,10,10,True,False,0.3643
6,scene0208_00,bookshelf,106,True,21,21,True,True,0.5642
7,scene0187_00,chair,1,True,4,4,False,False,0.0
8,scene0633_00,curtain,22,True,1,1,True,True,0.775
9,scene0063_00,chair,7,True,6,6,False,False,0.0
10,scene0568_00,chair,0,True,5,0,True,True,1.0
11,scene0221_00,pillow,41,True,10,10,True,True,0.8798
12,scene0663_00,monitor,10,True,3,3,True,True,1.0
13,scene0474_00,window,36,True,3,3,True,True,0.7565
14,scene0423_00,armchair,3,True,3,3,True,True,1.0
15,scene0329_00,monitor,32,True,4,4,True,True,0.8619
16,scene0146_00,rail,3,True,0,0,False,False,0.0
17,scene0435_00,shoes,16,True,4,4,True,True,1.0
18,scene0699_00,pillow,26,True,4,4,True,True,0.8138
19,scene0678_00,window,25,True,4,4,True,True,0.8217
20,scene0607_00,sink,16,True,1,1,True,False,0.2935
21,scene0697_00,dresser,11,True,2,2,True,True,0.9726
22,scene0095_00,keyboard,28,True,4,4,False,False,0.0
23,scene0328_00,sign,30,True,0,0,False,False,0.0
24,scene0629_00,picture,32,True,5,5,False,False,0.0
25,scene0652_00,pillow,17,True,15,15,True,True,1.0
26,scene0700_00,backpack,6,True,1,1,False,False,0.0
27,scene0643_00,desk,40,True,4,4,True,True,0.7472
28,scene0704_00,cabinet,15,True,5,0,True,True,0.9931
29,scene0696_00,monitor,4,True,3,3,True,False,0.3654
30,scene0645_00,lamp,33,True,6,5,True,True,0.9656
31,scene0565_00,chair,0,True,4,4,True,True,0.9845
32,scene0648_00,shelf,23,True,5,5,False,False,0.0
33,scene0645_00,armchair,23,True,3,3,True,True,0.8961
34,scene0598_00,chair,7,True,6,0,True,True,1.0
35,scene0169_00,window,28,True,1,1,False,False,0.1452
36,scene0187_00,table,6,True,7,7,True,True,0.9778
37,scene0643_00,shelf,38,True,2,2,False,False,0.0
38,scene0086_00,rail,15,True,0,0,False,False,0.0
39,scene0591_00,pillow,16,True,2,2,True,True,1.0
40,scene0686_00,toilet,23,True,2,0,True,True,1.0
41,scene0699_00,pillow,25,True,4,4,True,True,1.0
42,scene0458_00,toilet paper,4,True,10,10,True,True,1.0
43,scene0353_00,shelf,7,True,5,5,True,True,0.8258
44,scene0665_00,table,17,True,10,10,True,True,1.0
45,scene0025_00,cup,31,True,2,2,False,False,0.0982
46,scene0580_00,backpack,9,True,0,0,False,False,0.0
