dataset,case,query_type,route,route_reason,visual_attribute,pure_ordinal,pure_geometric,caption
scanrefer_250,0,explicit_direction,E0,visual_attribute_default_e0,True,False,False,the chair is west of the left - most table . the chair is dark brown and has four legs .
scanrefer_250,1,proximity_derived,seeground_ablation_spatial_only,pure_proximity_spatial,True,False,False,a counter / desk where a tv often sits . it is beside the black chair .
scanrefer_250,2,ordinal,E0,visual_attribute_default_e0,True,False,False,the trash can is right of the right - most door on the northern wall . the trash can is a trapezoidal prism and gray .
scanrefer_250,3,proximity_derived,seeground_ablation_spatial_only,pure_proximity_spatial,True,False,False,there is a long rectangular bench . it is next to another wide bench that 's closer to the pillar .
scanrefer_250,4,ordinal,E0,visual_attribute_default_e0,True,False,False,the cabinet is the northwestern - most one . the cabinet is a brown rectangular prism .
scanrefer_250,5,explicit_direction,E0,visual_attribute_default_e0,True,False,False,the chair is southwest of the left - most round table . the chair has a curved back and is blue .
scanrefer_250,6,ordinal,E0,visual_attribute_default_e0,True,False,False,the monitor is the southeast - most one on the eastern - most table . the monitor has a black square center .
scanrefer_250,7,explicit_direction,E0,visual_attribute_default_e0,True,False,False,the coffee table is black and on top of an area rug that has 2 semi - circles on it . the coffee table has a book on it and is in front of a couch and across from a bookshelf .
scanrefer_250,8,explicit_direction,E0,visual_attribute_default_e0,True,False,False,it is a beige and black chair . the beige and black chair is the chair at the right of the two chairs in the mid - front of the room .
scanrefer_250,9,ordinal,bev_raw_labeled,pure_ordinal_bev,False,True,True,a chair sits pulled under a table . it 's the third chair from the left .
scanrefer_250,10,opposite_derived,E0,visual_attribute_default_e0,True,False,False,"the monitor is opposite the desk with two monitors , and is next to the white shelf / cabinet . there is a black , non - rolling chair at the same desk ."
scanrefer_250,11,explicit_direction,E0,default_e0,False,False,False,a window is lit up in the wall . it 's behind a row of chairs .
scanrefer_250,12,explicit_direction,E0,visual_attribute_default_e0,True,False,False,"this is a black , rolling office chair . this chair sits at the desk , at the end of the bed ."
